Voluntário: robson	Sessão: osdkofsosd
P1	P2	I1	I2
215	215	2048	2048	
214	214	2048	2048	
213	213	2048	2048	
212	212	2048	2048	
211	211	2048	2048	
210	210	2048	2048	
209	209	2048	2048	
208	208	2048	2048	
207	207	2048	2048	
206	206	2048	2048	
205	206	2048	2048	
204	204	2048	2048	
203	203	2048	2048	
202	202	2048	2048	
201	202	2048	2048	
200	200	2048	2048	
199	199	2048	2048	
198	198	2048	2048	
197	198	2048	2048	
196	196	2048	2048	
195	195	2048	2048	
194	194	2048	2048	
193	194	2048	2048	
192	192	2048	2048	
191	191	2048	2048	
190	190	2048	2048	
189	190	2048	2048	
188	188	2048	2048	
187	187	2048	2048	
186	186	2048	2048	
185	186	2048	2048	
184	184	2048	2048	
183	183	2048	2048	
182	182	2048	2048	
181	182	2048	2048	
180	180	2048	2048	
179	179	2048	2048	
178	178	2048	2048	
177	178	2048	2048	
176	176	2048	2048	
175	175	2048	2048	
174	174	2048	2048	
173	174	2048	2048	
172	172	2048	2048	
171	171	2048	2048	
170	170	2048	2048	
169	170	2048	2048	
168	168	2048	2048	
167	167	2048	2048	
166	166	2048	2048	
165	166	2048	2048	
164	164	2048	2048	
163	163	2048	2048	
162	162	2048	2048	
161	162	2048	2048	
160	160	2048	2048	
159	159	2048	2048	
158	158	2048	2048	
157	157	2048	2048	
156	156	2048	2048	
155	155	2048	2048	
154	154	2048	2048	
153	153	2048	2048	
152	152	2048	2048	
151	151	2048	2048	
150	150	2048	2048	
149	149	2048	2048	
148	148	2048	2048	
147	147	2048	2048	
146	146	2048	2048	
145	145	2048	2048	
144	144	2048	2048	
143	143	2048	2048	
142	142	2048	2048	
141	141	2048	2048	
140	140	2048	2048	
139	139	2048	2048	
138	138	2048	2048	
137	137	2048	2048	
136	136	2048	2048	
135	135	2048	2048	
134	134	2048	2048	
133	133	2048	2048	
132	132	2048	2048	
131	131	2048	2048	
130	130	2048	2048	
129	129	2048	2048	
128	128	2048	2048	
127	127	2048	2048	
126	126	2048	2048	
125	125	2048	2048	
124	124	2048	2048	
123	123	2048	2048	
122	122	2048	2048	
121	121	2048	2048	
120	120	2048	2048	
119	119	2048	2048	
118	118	2048	2048	
117	117	2048	2048	
116	116	2048	2048	
115	115	2048	2048	
114	114	2048	2048	
113	113	2048	2048	
112	112	2048	2048	
111	111	2048	2048	
110	110	2048	2048	
109	109	2048	2048	
108	108	2048	2048	
107	107	2048	2048	
106	106	2048	2048	
105	105	2048	2048	
104	104	2048	2048	
103	103	2048	2048	
102	102	2048	2048	
101	101	2048	2048	
100	100	2048	2048	
99	99	2048	2048	
98	98	2048	2048	
97	97	2048	2048	
96	96	2048	2048	
95	95	2048	2048	
94	94	2048	2048	
93	93	2048	2048	
92	92	2048	2048	
91	91	2048	2048	
90	90	2048	2048	
89	89	2048	2048	
88	88	2048	2048	
87	87	2048	2048	
86	86	2048	2048	
85	85	2048	2048	
84	84	2048	2048	
83	83	2048	2048	
82	82	2048	2048	
81	81	2048	2048	
80	80	2048	2048	
79	79	2048	2048	
78	78	2048	2048	
77	77	2048	2048	
76	76	2048	2048	
75	75	2048	2048	
74	74	2048	2048	
73	73	2048	2048	
72	72	2048	2048	
71	71	2048	2048	
70	70	2048	2048	
69	69	2048	2048	
68	68	2048	2048	
67	67	2048	2048	
66	66	2048	2048	
65	65	2048	2048	
64	64	2048	2048	
63	63	2048	2048	
62	62	2048	2048	
61	61	2048	2048	
60	60	2048	2048	
59	59	2048	2048	
58	58	2048	2048	
57	57	2048	2048	
56	56	2048	2048	
55	55	2048	2048	
54	54	2048	2048	
53	53	2048	2048	
52	52	2048	2048	
51	51	2048	2048	
50	50	2048	2048	
49	49	2048	2048	
48	48	2048	2048	
47	47	2048	2048	
46	46	2048	2048	
45	45	2048	2048	
44	44	2048	2048	
43	43	2048	2048	
42	42	2048	2048	
41	41	2048	2048	
40	40	2048	2048	
39	39	2048	2048	
38	38	2048	2048	
37	37	2048	2048	
36	36	2048	2048	
35	35	2048	2048	
34	34	2048	2048	
33	33	2048	2048	
32	32	2048	2048	
31	31	2048	2048	
30	30	2048	2048	
29	29	2048	2048	
28	28	2048	2048	
27	27	2048	2048	
26	26	2048	2048	
25	25	2048	2048	
24	24	2048	2048	
23	23	2048	2048	
22	22	2048	2048	
21	21	2048	2048	
20	20	2048	2048	
FIM DA COLETA
